时间,经度,维度
2020-07-10 12:33:29,121.4148645,31.1729549
2020-07-10 12:33:29,121.4148272,31.1729513
2020-07-10 12:33:29,121.4147898,31.1729478
2020-07-10 12:33:30,121.4147524,31.1729444
2020-07-10 12:33:30,121.4147151,31.1729409
2020-07-10 12:33:30,121.4146777,31.1729373
2020-07-10 12:33:30,121.4146404,31.1729335
2020-07-10 12:33:30,121.4146032,31.1729295
2020-07-10 12:33:31,121.4145658,31.1729254
2020-07-10 12:33:31,121.4145285,31.172921
2020-07-10 12:33:31,121.4144912,31.1729165
2020-07-10 12:33:31,121.4144539,31.1729117
2020-07-10 12:33:32,121.4144165,31.1729067
2020-07-10 12:33:32,121.4143792,31.1729016
2020-07-10 12:33:32,121.4143419,31.1728964
2020-07-10 12:33:32,121.4143048,31.1728909
2020-07-10 12:33:32,121.4142677,31.1728853
2020-07-10 12:33:32,121.4142307,31.1728796
2020-07-10 12:33:33,121.4141937,31.1728738
2020-07-10 12:33:33,121.4141567,31.1728679
2020-07-10 12:33:33,121.4141199,31.1728619
2020-07-10 12:33:33,121.4140829,31.1728557
2020-07-10 12:33:33,121.4140462,31.1728495
2020-07-10 12:33:34,121.4140095,31.1728432
2020-07-10 12:33:40,121.412772,31.172614
2020-07-10 12:33:41,121.4127362,31.1726071
2020-07-10 12:33:41,121.4127004,31.1726002
2020-07-10 12:33:41,121.4126647,31.1725933
2020-07-10 12:33:41,121.412629,31.1725865
2020-07-10 12:33:41,121.4125931,31.1725797
2020-07-10 12:33:42,121.4125212,31.1725662
2020-07-10 12:33:42,121.4124853,31.1725595
2020-07-10 12:33:42,121.4124493,31.1725528
2020-07-10 12:33:43,121.4124132,31.1725461
2020-07-10 12:33:43,121.4123771,31.1725394
2020-07-10 12:33:43,121.412341,31.1725327
2020-07-10 12:33:43,121.4123049,31.1725261
2020-07-10 12:33:43,121.4122687,31.1725194
2020-07-10 12:33:44,121.4122325,31.1725128
2020-07-10 12:33:44,121.4121963,31.1725061
2020-07-10 12:33:44,121.41216,31.1724994
2020-07-10 12:33:44,121.4121237,31.1724927
2020-07-10 12:33:44,121.4120874,31.1724859
2020-07-10 12:33:45,121.4120511,31.1724793
2020-07-10 12:33:45,121.4119785,31.1724661
2020-07-10 12:33:45,121.4119424,31.1724596
2020-07-10 12:33:45,121.4119062,31.1724531
2020-07-10 12:33:45,121.4118701,31.1724466
2020-07-10 12:33:46,121.411834,31.1724401
2020-07-10 12:33:46,121.4117979,31.1724335
2020-07-10 12:33:46,121.4117618,31.172427
2020-07-10 12:33:46,121.4117257,31.1724205
2020-07-10 12:33:46,121.4116896,31.1724139
2020-07-10 12:33:47,121.4116535,31.1724074
2020-07-10 12:33:47,121.4116174,31.1724009
2020-07-10 12:33:47,121.4115815,31.1723945
2020-07-10 12:33:47,121.4115463,31.1723882
2020-07-10 12:33:47,121.4115119,31.172382
2020-07-10 12:33:48,121.4114784,31.172376
2020-07-10 12:33:48,121.4114461,31.1723702
2020-07-10 12:33:48,121.411415,31.1723647
2020-07-10 12:33:48,121.411385,31.1723593
2020-07-10 12:33:48,121.4113562,31.1723543
